id,district,code,party,first_name,last_name,first_elected,birth_year,gender,race_ethnicity,religion,lgbtq,votepercent_president2016_democrat,votepercent_president2016_republican,votepercent_president2012_democrat,votepercent_president2012_republican,votepercent_president2008_democrat,votepercent_president2008_republican,rvotepercent_house_democrat,rvotepercent_house_republican,votepercent_president2004_democrat,votepercent_president2004_republican,votepercent_president2000_democrat,votepercent_president2000_republican,votepercent2014_house_democrat,votepercent2014_house_republican,two_party2012_dem,two_party2012_rep,acs_population_adult_white,acs_population_adult_black,acs_population_adult_latino,acs_population_adult_asianpacificislander,acs_population_adult_native,acs_population_adult_other,acs_bachelordegree_age25plus,acs_ba_rank,acs_ba_white,acs_ba_white_rank,acs_medianincome,acs_medianincome_rank,noncollege_white_share,tvotetotal_president,qvote_president_democrat,qvote_president_republican,votetotal_president2012,vote_president2012_democrat,vote_president2012_republican,votetotal_president2008,vote_president2008_democrat,vote_president2008_republican,votetotal2016_house,vote_house2016_democrat,vote_house2016_republican,vote_house2016_other,vote_total2014_house,vote_house2014_democrat,vote_house2014_republican,vote_house2014_other,house2_party2012_dem,house2_party2012_rep,acs_population_total,acs_votingagepopulation_total,,,
29,California 8th,CA-08,Republican,Paul,Cook,2012,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,39.6,54.7,41.7,55.6,41.6,54.8,37.7,62.3,86,13,79,13,32.4,67.6,0,100,56.2,8,29.8,3.1,0.9,1.9,17.1,411,20.6,412,49194,325,44.5,232835,92234,127464,212633,88579,118278,100,41.64,54.81,220007,83035,136972,0,114536,37056,77480,0,0,179644,667670,472380,,,"(29,'California 8th','CA-08','Republican','Paul','Cook',2012,1943,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',39.6,54.7,41.7,55.6,41.6,54.8,37.7,62.3,86,13,79,13,32.4,67.6,0,100,56.2,8,29.8,3.1,0.9,1.9,17.1,411,20.6,412,49194,325,44.5,232835,92234,127464,212633,88579,118278,100,41.64,54.81,220007,83035,136972,0,114536,37056,77480,0,0,179644,667670,472380),"
30,California 9th,CA-09,Democratic,Jerry,McNerney,2006,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,56.6,38,57.8,40.1,56.3,40.8,57.4,42.6,59,40,55,41,52.4,47.6,55.6,44.4,45.7,9.7,27.3,13.9,0.4,3,19.1,400,24.4,367,61454,164,34.4,238191,134719,90484,220312,127418,88403,100,56.3,40.82,232155,133163,98992,0,121204,63475,57729,0,118373,94704,650890,454070,,,"(30,'California 9th','CA-09','Democratic','Jerry','McNerney',2006,1951,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',56.6,38,57.8,40.1,56.3,40.8,57.4,42.6,59,40,55,41,52.4,47.6,55.6,44.4,45.7,9.7,27.3,13.9,0.4,3,19.1,400,24.4,367,61454,164,34.4,238191,134719,90484,220312,127418,88403,100,56.3,40.82,232155,133163,98992,0,121204,63475,57729,0,118373,94704,650890,454070),"
31,California 10th,CA-10,Republican,Jeff,Denham,2010,1967,Man,White - Non-Hispanic,Christian - Presbyterian,No,48.5,45.5,50.6,47,49.9,47.2,48.3,51.7,45,54,45,53,43.9,56.1,47.3,52.7,55.6,3.5,30.8,6.8,0.5,2.8,16.6,415,21,411,60235,182,43.8,239680,116335,109145,215113,108923,101160,100,49.87,47.23,241141,116470,124671,0,125705,55123,70582,0,98934,110265,649130,455035,,,"(31,'California 10th','CA-10','Republican','Jeff','Denham',2010,1967,'Man','White - Non-Hispanic','Christian - Presbyterian','No',48.5,45.5,50.6,47,49.9,47.2,48.3,51.7,45,54,45,53,43.9,56.1,47.3,52.7,55.6,3.5,30.8,6.8,0.5,2.8,16.6,415,21,411,60235,182,43.8,239680,116335,109145,215113,108923,101160,100,49.87,47.23,241141,116470,124671,0,125705,55123,70582,0,98934,110265,649130,455035),"
32,California 11th,CA-11,Democratic,Mark,DeSaulnier,2014,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,71.5,22.7,67.6,30,68.8,28.4,72.1,27.9,72,27,67,29,67.3,32.7,69.7,30.3,57.6,9.5,16,13.3,0.3,3.4,43.6,53,56.5,35,86000,35,25,312568,223559,70869,301134,203699,90226,100,68.76,28.4,298209,214868,83341,0,174662,117502,57160,0,200743,87136,644735,484800,,,"(32,'California 11th','CA-11','Democratic','Mark','DeSaulnier',2014,1952,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',71.5,22.7,67.6,30,68.8,28.4,72.1,27.9,72,27,67,29,67.3,32.7,69.7,30.3,57.6,9.5,16,13.3,0.3,3.4,43.6,53,56.5,35,86000,35,25,312568,223559,70869,301134,203699,90226,100,68.76,28.4,298209,214868,83341,0,174662,117502,57160,0,200743,87136,644735,484800),"
33,California 12th,CA-12,Democratic,Nancy,Pelosi,1986,1940,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,86.2,8.7,84.1,12.5,83.8,12.8,80.9,0,71,28,67,30,83.3,16.7,85.1,14.9,49.5,5.7,11,30.7,0.2,3,59.5,8,78.1,2,105918,9,10.8,358774,309221,31158,320387,269461,40003,100,83.8,12.75,338845,274035,0,64810,192264,160067,32197,0,253709,44478,642175,550100,,,"(33,'California 12th','CA-12','Democratic','Nancy','Pelosi',1986,1940,'Woman','White - Non-Hispanic','Christian - Roman Catholic','No',86.2,8.7,84.1,12.5,83.8,12.8,80.9,0,71,28,67,30,83.3,16.7,85.1,14.9,49.5,5.7,11,30.7,0.2,3,59.5,8,78.1,2,105918,9,10.8,358774,309221,31158,320387,269461,40003,100,83.8,12.75,338845,274035,0,64810,192264,160067,32197,0,253709,44478,642175,550100),"
34,California 13th,CA-13,Democratic,Barbara,Lee,1998,1946,Woman,Black - African-American,Christian - Baptist,No,87.4,6.8,87.5,9,87.1,9.9,90.8,9.2,68,30,62,34,88.5,11.5,100,0,42,19.8,13.6,20.2,0.4,3.9,47.2,34,70.8,7,73601,74,12.2,334194,291926,22743,306314,268093,27474,100,87.1,9.85,322871,293117,29754,0,190431,168491,21940,0,250436,0,640105,504590,,,"(34,'California 13th','CA-13','Democratic','Barbara','Lee',1998,1946,'Woman','Black - African-American','Christian - Baptist','No',87.4,6.8,87.5,9,87.1,9.9,90.8,9.2,68,30,62,34,88.5,11.5,100,0,42,19.8,13.6,20.2,0.4,3.9,47.2,34,70.8,7,73601,74,12.2,334194,291926,22743,306314,268093,27474,100,87.1,9.85,322871,293117,29754,0,190431,168491,21940,0,250436,0,640105,504590),"
35,California 14th,CA-14,Democratic,Jackie,Speier,2008,1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,76.9,18.2,74.2,23.6,73.4,23.6,80.9,19.1,63,36,60,36,76.7,23.3,78.9,21.1,42.9,3.6,17.3,33.2,0.2,2.7,47.5,32,56.9,32,103850,10,18.4,297743,229008,54229,269882,200343,63589,100,73.44,23.55,286447,231630,54817,0,149146,114389,34757,0,203828,54455,628140,485145,,,"(35,'California 14th','CA-14','Democratic','Jackie','Speier',2008,1950,'Woman','White - Non-Hispanic','Christian - Roman Catholic','No',76.9,18.2,74.2,23.6,73.4,23.6,80.9,19.1,63,36,60,36,76.7,23.3,78.9,21.1,42.9,3.6,17.3,33.2,0.2,2.7,47.5,32,56.9,32,103850,10,18.4,297743,229008,54229,269882,200343,63589,100,73.44,23.55,286447,231630,54817,0,149146,114389,34757,0,203828,54455,628140,485145),"
36,California 15th,CA-15,Democratic,Eric,Swalwell,2012,1980,Man,White - Non-Hispanic,Christian - Protestant,No,69.9,24.2,68,29.8,67,30.1,73.8,26.2,63,36,64,33,69.8,30.2,100,0,43.9,7,17.1,28.7,0.3,3,45,43,47.1,79,106291,8,23.2,284536,198964,68808,260611,177243,77748,100,66.98,30.06,269197,198578,70619,0,142904,99756,43148,0,231034,0,640280,467980,,,"(36,'California 15th','CA-15','Democratic','Eric','Swalwell',2012,1980,'Man','White - Non-Hispanic','Christian - Protestant','No',69.9,24.2,68,29.8,67,30.1,73.8,26.2,63,36,64,33,69.8,30.2,100,0,43.9,7,17.1,28.7,0.3,3,45,43,47.1,79,106291,8,23.2,284536,198964,68808,260611,177243,77748,100,66.98,30.06,269197,198578,70619,0,142904,99756,43148,0,231034,0,640280,467980),"
37,California 16th,CA-16,Democratic,Jim,Costa,2004,1952,Man,White - Portuguese-American,Christian - Roman Catholic,No,58,36.4,58.6,39.4,57.1,39.9,58,42,66,33,60,33,50.7,49.3,57.4,42.6,34.6,7.6,46.1,9.3,0.6,1.8,12.2,431,21.3,405,40207,417,27.1,169964,98504,61813,151953,88973,59808,100,57.09,39.86,167956,97473,70483,0,91220,46277,44943,0,84649,62801,602655,389255,,,"(37,'California 16th','CA-16','Democratic','Jim','Costa',2004,1952,'Man','White - Portuguese-American','Christian - Roman Catholic','No',58,36.4,58.6,39.4,57.1,39.9,58,42,66,33,60,33,50.7,49.3,57.4,42.6,34.6,7.6,46.1,9.3,0.6,1.8,12.2,431,21.3,405,40207,417,27.1,169964,98504,61813,151953,88973,59808,100,57.09,39.86,167956,97473,70483,0,91220,46277,44943,0,84649,62801,602655,389255),"
38,California 17th,CA-17,Democratic,Ro,Khanna,2016,1976,Man,Asian - Indian,Hindu,No,73.9,20.5,71.9,25.5,68.6,27.6,100,0,49,50,53,44,100,0,73.5,26.5,34.5,3.1,14.2,45.4,0.3,2.5,57,11,54.4,41,121150,2,15.7,248695,183801,50926,227806,163862,58193,100,68.56,27.55,233192,233192,0,0,134408,134408,0,0,159392,57336,579265,429325,,,"(38,'California 17th','CA-17','Democratic','Ro','Khanna',2016,1976,'Man','Asian - Indian','Hindu','No',73.9,20.5,71.9,25.5,68.6,27.6,100,0,49,50,53,44,100,0,73.5,26.5,34.5,3.1,14.2,45.4,0.3,2.5,57,11,54.4,41,121150,2,15.7,248695,183801,50926,227806,163862,58193,100,68.56,27.55,233192,233192,0,0,134408,134408,0,0,159392,57336,579265,429325),"
39,California 18th,CA-18,Democratic,Anna,Eshoo,1992,1942,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,73.4,20.2,68.2,28.9,69.8,26.9,71.1,28.9,38,61,39,58,67.8,32.2,70.5,29.5,65.2,2,11.7,18.3,0.2,2.6,61.5,4,65.1,14,125790,1,22.7,335138,246015,67808,319615,218082,92457,100,69.75,26.92,323930,230460,93470,0,196386,133060,63326,0,212831,89103,629140,474180,,,"(39,'California 18th','CA-18','Democratic','Anna','Eshoo',1992,1942,'Woman','White - Non-Hispanic','Christian - Roman Catholic','No',73.4,20.2,68.2,28.9,69.8,26.9,71.1,28.9,38,61,39,58,67.8,32.2,70.5,29.5,65.2,2,11.7,18.3,0.2,2.6,61.5,4,65.1,14,125790,1,22.7,335138,246015,67808,319615,218082,92457,100,69.75,26.92,323930,230460,93470,0,196386,133060,63326,0,212831,89103,629140,474180),"
40,California 19th,CA-19,Democratic,Zoe,Lofgren,1994,1947,Woman,White - Non-Hispanic,Christian - Lutheran,No,72.9,21.5,71.2,26.5,67.5,28.8,73.9,26.1,51,48,55,44,100,0,73.2,26.8,34.2,3.4,30.9,28.7,0.3,2.5,35.5,126,48.8,71,93139,24,17.5,257624,187828,55371,232442,165530,61643,100,67.5,28.83,245863,181802,64061,0,127788,127788,0,0,162300,59313,630895,459045,,,"(40,'California 19th','CA-19','Democratic','Zoe','Lofgren',1994,1947,'Woman','White - Non-Hispanic','Christian - Lutheran','No',72.9,21.5,71.2,26.5,67.5,28.8,73.9,26.1,51,48,55,44,100,0,73.2,26.8,34.2,3.4,30.9,28.7,0.3,2.5,35.5,126,48.8,71,93139,24,17.5,257624,187828,55371,232442,165530,61643,100,67.5,28.83,245863,181802,64061,0,127788,127788,0,0,162300,59313,630895,459045),"
41,California 20th,CA-20,Democratic,Jimmy,Panetta,2016,1969,Man,White - Non-Hispanic,Christian - Roman Catholic,No,70.4,23.2,70.9,26.2,71.4,25.6,70.8,29.2,34,65,37,61,75.2,0,74.1,25.9,54.5,2.6,33.8,6,0.3,2.7,27.9,237,43.5,103,67419,118,30.7,256538,180486,59573,238341,168956,62427,100,71.38,25.58,255791,180980,74811,0,141044,106034,0,35010,172996,60566,596880,424375,,,"(41,'California 20th','CA-20','Democratic','Jimmy','Panetta',2016,1969,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',70.4,23.2,70.9,26.2,71.4,25.6,70.8,29.2,34,65,37,61,75.2,0,74.1,25.9,54.5,2.6,33.8,6,0.3,2.7,27.9,237,43.5,103,67419,118,30.7,256538,180486,59573,238341,168956,62427,100,71.38,25.58,255791,180980,74811,0,141044,106034,0,35010,172996,60566,596880,424375),"
42,California 21st,CA-21,Republican,David,Valadao,2012,1977,Man,White - Portuguese-American,Christian - Roman Catholic,No,55.2,39.7,54.6,43.5,51.5,45.7,43.3,56.7,31,68,33,64,42.2,57.8,42.2,57.8,29.1,6.3,58.7,3.8,0.7,1.5,7.9,435,19.5,422,41174,405,23.3,133544,73773,52972,119232,65146,51917,100,51.5,45.68,132408,57282,75126,0,79377,33470,45907,0,49119,67164,557185,342085,,,"(42,'California 21st','CA-21','Republican','David','Valadao',2012,1977,'Man','White - Portuguese-American','Christian - Roman Catholic','No',55.2,39.7,54.6,43.5,51.5,45.7,43.3,56.7,31,68,33,64,42.2,57.8,42.2,57.8,29.1,6.3,58.7,3.8,0.7,1.5,7.9,435,19.5,422,41174,405,23.3,133544,73773,52972,119232,65146,51917,100,51.5,45.68,132408,57282,75126,0,79377,33470,45907,0,49119,67164,557185,342085),"
43,California 22nd,CA-22,Republican,Devin,Nunes,2002,1973,Man,White - Portuguese-American,Christian - Roman Catholic,No,42.6,52.1,41.6,56.6,42.3,55.3,32.4,67.6,58,40,54,40,28,72,38.1,61.9,51.7,3.2,35.6,7.1,0.5,1.8,24.1,306,31.6,239,56524,213,35.3,240137,102292,125089,221278,92005,125213,100,42.29,55.25,234966,76211,158755,0,133342,37289,96053,0,81555,132386,662435,458360,,,"(43,'California 22nd','CA-22','Republican','Devin','Nunes',2002,1973,'Man','White - Portuguese-American','Christian - Roman Catholic','No',42.6,52.1,41.6,56.6,42.3,55.3,32.4,67.6,58,40,54,40,28,72,38.1,61.9,51.7,3.2,35.6,7.1,0.5,1.8,24.1,306,31.6,239,56524,213,35.3,240137,102292,125089,221278,92005,125213,100,42.29,55.25,234966,76211,158755,0,133342,37289,96053,0,81555,132386,662435,458360),"
44,California 23rd,CA-23,Republican,Kevin,McCarthy,2006,1965,Man,White - Non-Hispanic,Christian - Baptist,No,36.1,58.1,36.1,61.5,36.2,60.9,30.8,69.2,43,56,43,54,25.2,74.8,0,100,57.1,6.6,29.1,4.4,0.7,2.1,20.8,373,24.6,362,54437,239,42.9,244864,88314,142351,227297,82119,139816,100,36.22,60.85,241584,74468,167116,0,134043,33726,100317,0,0,158161,674330,478295,,,"(44,'California 23rd','CA-23','Republican','Kevin','McCarthy',2006,1965,'Man','White - Non-Hispanic','Christian - Baptist','No',36.1,58.1,36.1,61.5,36.2,60.9,30.8,69.2,43,56,43,54,25.2,74.8,0,100,57.1,6.6,29.1,4.4,0.7,2.1,20.8,373,24.6,362,54437,239,42.9,244864,88314,142351,227297,82119,139816,100,36.22,60.85,241584,74468,167116,0,134043,33726,100317,0,0,158161,674330,478295),"
45,California 24th,CA-24,Democratic,Salud,Carbajal,2016,1964,Man,Hispanic - Mexican,Christian - Roman Catholic,No,56.7,36.5,54.1,43.1,56.2,40.7,53.4,46.6,40,59,42,56,51.9,48.1,55.1,44.9,68,2.2,22.7,4.5,0.4,2.2,34,141,44.8,93,68929,104,37.5,312160,176979,113887,292406,158119,126049,100,56.23,40.71,310814,166034,144780,0,198794,103228,95566,0,156749,127746,644190,498910,,,"(45,'California 24th','CA-24','Democratic','Salud','Carbajal',2016,1964,'Man','Hispanic - Mexican','Christian - Roman Catholic','No',56.7,36.5,54.1,43.1,56.2,40.7,53.4,46.6,40,59,42,56,51.9,48.1,55.1,44.9,68,2.2,22.7,4.5,0.4,2.2,34,141,44.8,93,68929,104,37.5,312160,176979,113887,292406,158119,126049,100,56.23,40.71,310814,166034,144780,0,198794,103228,95566,0,156749,127746,644190,498910),"
46,California 25th,CA-25,Republican,Steve,Knight,2014,1966,Man,White - Non-Hispanic,Christian - Roman Catholic,No,50.3,43.6,47.8,49.7,48.7,48.1,46.9,53.1,44,55,44,53,0,100,45.2,54.8,52.4,8.1,29,7.7,0.3,2.5,27.8,242,33.3,219,75367,69,34.9,273218,137491,119249,252249,120701,125258,100,48.71,48.14,261161,122406,138755,0,114072,0,114072,0,106982,129593,656050,466130,,,"(46,'California 25th','CA-25','Republican','Steve','Knight',2014,1966,'Man','White - Non-Hispanic','Christian - Roman Catholic','No',50.3,43.6,47.8,49.7,48.7,48.1,46.9,53.1,44,55,44,53,0,100,45.2,54.8,52.4,8.1,29,7.7,0.3,2.5,27.8,242,33.3,219,75367,69,34.9,273218,137491,119249,252249,120701,125258,100,48.71,48.14,261161,122406,138755,0,114072,0,114072,0,106982,129593,656050,466130),"
47,California 26th,CA-26,Democratic,Julia,Brownley,2012,1952,Woman,White - Non-Hispanic,Christian - Episcopalian,No,57.9,36,54,43.7,56.1,41,60.4,39.6,59,39,60,36,51.3,48.7,52.7,47.3,57,2.1,32,6.6,0.3,2,34.1,138,46.3,84,76914,61,30.6,292232,169083,105259,273647,147753,119677,100,56.09,41.04,280307,169248,111059,0,169829,87176,82653,0,139072,124863,625225,455215,,,"(47,'California 26th','CA-26','Democratic','Julia','Brownley',2012,1952,'Woman','White - Non-Hispanic','Christian - Episcopalian','No',57.9,36,54,43.7,56.1,41,60.4,39.6,59,39,60,36,51.3,48.7,52.7,47.3,57,2.1,32,6.6,0.3,2,34.1,138,46.3,84,76914,61,30.6,292232,169083,105259,273647,147753,119677,100,56.09,41.04,280307,169248,111059,0,169829,87176,82653,0,139072,124863,625225,455215),"
48,California 27th,CA-27,Democratic,Judy,Chu,2009,1953,Woman,Asian - Chinese,Unknown,No,66,28.4,62.6,35,61,35.5,67.4,32.6,71,28,73,24,59.4,40.6,64,36,33.5,5.4,24.5,34.7,0.2,1.7,40.5,79,53.1,44,71223,86,15.6,264466,174544,74984,257970,161528,90278,100,61.01,35.47,250632,168977,81655,0,127580,75728,51852,0,154191,86817,614295,481155,,,"(48,'California 27th','CA-27','Democratic','Judy','Chu',2009,1953,'Woman','Asian - Chinese','Unknown','No',66,28.4,62.6,35,61,35.5,67.4,32.6,71,28,73,24,59.4,40.6,64,36,33.5,5.4,24.5,34.7,0.2,1.7,40.5,79,53.1,44,71223,86,15.6,264466,174544,74984,257970,161528,90278,100,61.01,35.47,250632,168977,81655,0,127580,75728,51852,0,154191,86817,614295,481155),"
49,California 28th,CA-28,Democratic,Adam,Schiff,2000,1960,Man,White - Non-Hispanic,Jewish,No,72.1,22.3,70.3,26.5,70.1,26.3,78,22,61,37,58,38,76.5,0,76.5,23.5,62.1,3.3,19.9,12.1,0.2,2.5,46.2,38,51.6,54,63940,143,29.9,289254,208645,64607,266628,187441,70757,100,70.12,26.31,270409,210883,59526,0,120264,91996,0,28268,188703,58008,600475,493205,,,"(49,'California 28th','CA-28','Democratic','Adam','Schiff',2000,1960,'Man','White - Non-Hispanic','Jewish','No',72.1,22.3,70.3,26.5,70.1,26.3,78,22,61,37,58,38,76.5,0,76.5,23.5,62.1,3.3,19.9,12.1,0.2,2.5,46.2,38,51.6,54,63940,143,29.9,289254,208645,64607,266628,187441,70757,100,70.12,26.31,270409,210883,59526,0,120264,91996,0,28268,188703,58008,600475,493205),"
50,California 29th,CA-29,Democratic,Tony,Cardenas,2012,1963,Man,Hispanic - Mexican,Christian - Protestant,No,77.7,16.8,77,20.5,73.8,22.5,100,0,66,33,68,28,74.6,25.4,100,0,28.3,5.4,55.3,9.4,0.3,1.2,19.2,398,34.5,194,50655,298,18.4,196196,152517,32963,167889,129323,34454,100,73.75,22.54,171824,171824,0,0,67141,50096,17045,0,111287,0,545910,379540,,,"(50,'California 29th','CA-29','Democratic','Tony','Cardenas',2012,1963,'Man','Hispanic - Mexican','Christian - Protestant','No',77.7,16.8,77,20.5,73.8,22.5,100,0,66,33,68,28,74.6,25.4,100,0,28.3,5.4,55.3,9.4,0.3,1.2,19.2,398,34.5,194,50655,298,18.4,196196,152517,32963,167889,129323,34454,100,73.75,22.54,171824,171824,0,0,67141,50096,17045,0,111287,0,545910,379540),"
51,California 30th,CA-30,Democratic,Brad,Sherman,1996,1954,Man,White - Non-Hispanic,Jewish,No,69.1,25.7,65.3,32.1,65.8,30.9,72.6,27.4,77,22,77,19,65.6,34.4,100,0,59.7,5.2,21,11.5,0.2,2.4,42.4,61,49.3,66,76778,62,30.2,302805,209149,77701,285226,186301,91680,100,65.84,30.87,282604,205279,77325,0,131883,86568,45315,0,247851,0,651345,506390,,,"(51,'California 30th','CA-30','Democratic','Brad','Sherman',1996,1954,'Man','White - Non-Hispanic','Jewish','No',69.1,25.7,65.3,32.1,65.8,30.9,72.6,27.4,77,22,77,19,65.6,34.4,100,0,59.7,5.2,21,11.5,0.2,2.4,42.4,61,49.3,66,76778,62,30.2,302805,209149,77701,285226,186301,91680,100,65.84,30.87,282604,205279,77325,0,131883,86568,45315,0,247851,0,651345,506390),"
52,California 31st,CA-31,Democratic,Pete,Aguilar,2014,1979,Man,Hispanic - Mexican,Christian - Roman Catholic,No,57.7,36.6,57.2,40.6,55.6,40.7,56.1,43.9,62,37,67,31,51.7,48.3,0,100,35.2,12,43.3,7.2,0.3,2.1,22.7,338,33.7,210,58668,191,23.2,228825,131960,83701,206242,118043,83822,100,55.61,40.68,215936,121070,94866,0,99784,51622,48162,0,0,161219,650185,456310,,,"(52,'California 31st','CA-31','Democratic','Pete','Aguilar',2014,1979,'Man','Hispanic - Mexican','Christian - Roman Catholic','No',57.7,36.6,57.2,40.6,55.6,40.7,56.1,43.9,62,37,67,31,51.7,48.3,0,100,35.2,12,43.3,7.2,0.3,2.1,22.7,338,33.7,210,58668,191,23.2,228825,131960,83701,206242,118043,83822,100,55.61,40.68,215936,121070,94866,0,99784,51622,48162,0,0,161219,650185,456310),"
53,California 32nd,CA-32,Democratic,Grace,Napolitano,1998,1936,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,66.6,27.7,65.2,32.5,62,34.5,100,0,83,16,83,14,59.7,40.3,65.7,34.3,22.6,3.5,54.3,18.1,0.3,1.3,21.4,361,30.6,262,67101,120,15.6,220046,146459,60921,204169,133061,66269,100,61.98,34.54,186646,186646,0,0,84406,50353,34053,0,124903,65208,603855,441890,,,"(53,'California 32nd','CA-32','Democratic','Grace','Napolitano',1998,1936,'Woman','Hispanic - Mexican','Christian - Roman Catholic','No',66.6,27.7,65.2,32.5,62,34.5,100,0,83,16,83,14,59.7,40.3,65.7,34.3,22.6,3.5,54.3,18.1,0.3,1.3,21.4,361,30.6,262,67101,120,15.6,220046,146459,60921,204169,133061,66269,100,61.98,34.54,186646,186646,0,0,84406,50353,34053,0,124903,65208,603855,441890),"
54,California 33rd,CA-33,Democratic,Ted,Lieu,2014,1969,Man,Asian - Chinese,Christian - Roman Catholic,No,67.8,26.5,60.6,36.8,64.1,32.9,66.4,33.6,69,30,72,26,59.2,40.8,54,46,71.1,2.9,11,11.9,0.2,2.9,65.4,2,68.1,10,101956,11,22.6,353897,239982,93706,346504,210010,127421,100,64.11,32.92,330219,219397,110822,0,183031,108331,74700,0,171860,146660,650100,523965,,,"(54,'California 33rd','CA-33','Democratic','Ted','Lieu',2014,1969,'Man','Asian - Chinese','Christian - Roman Catholic','No',67.8,26.5,60.6,36.8,64.1,32.9,66.4,33.6,69,30,72,26,59.2,40.8,54,46,71.1,2.9,11,11.9,0.2,2.9,65.4,2,68.1,10,101956,11,22.6,353897,239982,93706,346504,210010,127421,100,64.11,32.92,330219,219397,110822,0,183031,108331,74700,0,171860,146660,650100,523965),"
55,California 34th,CA-34,Democratic,Jimmy,Gomez,2017,1974,Man,Hispanic - Mexican,Christian - No Data,No,83.6,10.7,83,14.1,77.1,18.7,100,0,79,20,82,17,100,0,85.6,14.4,17.9,7.1,51,22.2,0.3,1.5,25.4,285,59.4,28,40847,412,7.2,184601,154259,19784,153699,127510,21739,100,77.1,18.67,159156,159156,0,0,61607,61607,0,0,120367,20223,506520,360785,,,"(55,'California 34th','CA-34','Democratic','Jimmy','Gomez',2017,1974,'Man','Hispanic - Mexican','Christian - No Data','No',83.6,10.7,83,14.1,77.1,18.7,100,0,79,20,82,17,100,0,85.6,14.4,17.9,7.1,51,22.2,0.3,1.5,25.4,285,59.4,28,40847,412,7.2,184601,154259,19784,153699,127510,21739,100,77.1,18.67,159156,159156,0,0,61607,61607,0,0,120367,20223,506520,360785),"
56,California 35th,CA-35,Democratic,Norma,Torres,2014,1965,Woman,Hispanic - Guatemalan,Christian - Roman Catholic,No,67.7,26.9,67.4,30.6,64.1,32.3,72.4,27.6,59,40,57,39,100,0,100,0,21.8,8.8,59.8,7.3,0.3,2,16.1,418,23.8,376,57159,206,16.5,188611,127757,50822,161732,108983,49433,100,64.09,32.31,171353,124044,47309,0,62255,62255,0,0,142680,0,601835,410065,,,"(56,'California 35th','CA-35','Democratic','Norma','Torres',2014,1965,'Woman','Hispanic - Guatemalan','Christian - Roman Catholic','No',67.7,26.9,67.4,30.6,64.1,32.3,72.4,27.6,59,40,57,39,100,0,100,0,21.8,8.8,59.8,7.3,0.3,2,16.1,418,23.8,376,57159,206,16.5,188611,127757,50822,161732,108983,49433,100,64.09,32.31,171353,124044,47309,0,62255,62255,0,0,142680,0,601835,410065),"
57,California 36th,CA-36,Democratic,Raul,Ruiz,2012,1972,Man,Hispanic - Mexican,Christian - Seventh-Day Adventist,No,52.2,43.4,50.7,47.5,50.1,47,62.1,37.9,74,25,76,22,54.2,45.8,52.9,47.1,55.8,4.6,34.4,3.1,0.6,1.5,20.6,377,29.8,272,44567,379,39.1,237370,123795,103051,212939,107914,101156,100,50.1,47.02,232617,144348,88269,0,134139,72682,61457,0,110189,97953,637385,466145,,,"(57,'California 36th','CA-36','Democratic','Raul','Ruiz',2012,1972,'Man','Hispanic - Mexican','Christian - Seventh-Day Adventist','No',52.2,43.4,50.7,47.5,50.1,47,62.1,37.9,74,25,76,22,54.2,45.8,52.9,47.1,55.8,4.6,34.4,3.1,0.6,1.5,20.6,377,29.8,272,44567,379,39.1,237370,123795,103051,212939,107914,101156,100,50.1,47.02,232617,144348,88269,0,134139,72682,61457,0,110189,97953,637385,466145),"
58,California 37th,CA-37,Democratic,Karen,Bass,2010,1953,Woman,Black - African-American,Christian - Baptist,No,85.7,9.6,84.9,12.7,84.3,12.8,100,0,65,34,70,28,84.3,15.7,86.4,13.6,32.3,29.5,25.7,10,0.2,2.4,36.9,108,66.6,12,55190,228,10.7,276134,236621,26608,261858,222329,33307,100,84.34,12.83,237272,237272,0,0,114838,96787,18051,0,207039,32541,592380,455340,,,"(58,'California 37th','CA-37','Democratic','Karen','Bass',2010,1953,'Woman','Black - African-American','Christian - Baptist','No',85.7,9.6,84.9,12.7,84.3,12.8,100,0,65,34,70,28,84.3,15.7,86.4,13.6,32.3,29.5,25.7,10,0.2,2.4,36.9,108,66.6,12,55190,228,10.7,276134,236621,26608,261858,222329,33307,100,84.34,12.83,237272,237272,0,0,114838,96787,18051,0,207039,32541,592380,455340),"
